F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000   2144   1409  0  80   0 - 90432 poll_s ?        00:00:00 gvfsd-dnssd
1 S     0   4871      2  0  80   0 -     0 -      ?        00:00:24 kworker/u256:2
5 S     0   5476   1409  0  80   0 - 10901 -      ?        00:00:00 dbus-launch
5 S     0   5477   1409  0  80   0 - 10693 -      ?        00:00:00 dbus-daemon
4 S     0   5481   1409  0  80   0 - 44666 -      ?        00:00:00 dconf-service
0 S  1000   5582   1409  0  80   0 - 15293 poll_s ?        00:00:00 gconfd-2
4 S     0   7820    766  0  80   0 -  4032 -      ?        00:00:00 dhclient
0 S  1000   7856   1409  0  80   0 - 121198 poll_s ?       00:00:00 notify-osd
0 S  1000   8006   1409  2  80   0 - 536805 poll_s ?       00:00:41 firefox
1 S     0   8129      2  1  80   0 -     0 -      ?        00:00:19 kworker/u256:3
1 S     0   8253      2  0  80   0 -     0 -      ?        00:00:01 kworker/0:2
0 S  1000   8302   1409  0  80   0 - 163802 poll_s ?       00:00:01 gnome-terminal-
0 S  1000   8309   8302  0  80   0 -  5582 wait   pts/4    00:00:00 bash
1 S     0  14237      2  0  80   0 -     0 -      ?        00:00:01 kworker/1:0
1 S     0  20516      2  0  60 -20 -     0 -      ?        00:00:00 xfsalloc
1 S     0  20520      2  0  60 -20 -     0 -      ?        00:00:00 xfs_mru_cache
1 S     0  20527      2  0  80   0 -     0 -      ?        00:00:00 jfsIO
1 S     0  20528      2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  20529      2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  20530      2  0  80   0 -     0 -      ?        00:00:00 jfsSync
1 S     0  20567      2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0  27145      2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 S     0  27184      2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2
1 S     0  27750      2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:0
1 S     0  28111      2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1
1 S     0  28142      2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1
0 R  1000  28158   8309  0  80   0 -  7230 -      pts/4    00:00:00 ps
