UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
udaree     1685   1409   1685  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
udaree     1685   1409   1747  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
udaree     1685   1409   1749  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
udaree     1685   1409   1751  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
udaree     1686   1409   1686  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1686   1409   1707  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1686   1409   1725  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1686   1409   1726  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1686   1409   1728  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1686   1409   1813  0    6 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
udaree     1689   1409   1689  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
udaree     1689   1409   1709  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
udaree     1689   1409   1710  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
udaree     1689   1409   1712  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
udaree     1690   1409   1690  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
udaree     1690   1409   1699  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
udaree     1690   1409   1703  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
udaree     1690   1409   1715  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
